X,Y,OBJECTID,ZNAME,DATE_,EDITOR,BART,Disable,May11
-122.3936469176,37.7767282858274,1,San Francisco,19980126,KFL,0,1,0
-122.391592494702,37.7554992773237,2,22nd St,19980223,KFL,0,0,0
-122.40059280635,37.7105955228789,3,Bayshore,19980223,KFL,0,0,0
-122.404897300349,37.6556805466799,4,South San Francisco,19980223,KFL,0,0,0
-122.406794497219,37.6239901531937,5,San Bruno,19980223,KFL,0,1,412
-122.362276223592,37.587949905151,6,Broadway,19980223,KFL,0,0,0
-122.344210368888,37.579960494707,7,Burlingame,19980223,KFL,0,0,588
-122.321448695679,37.5661665328979,8,San Mateo,19980223,KFL,0,1,1238
-122.310524395359,37.5556335539422,9,Hayward Park,19980223,KFL,0,1,244
-122.296762001764,37.537965082552,10,Hillsdale,19980223,KFL,0,1,1815
-122.275514308476,37.5215081047353,11,Belmont,19980223,KFL,0,1,436
-122.259326039711,37.5083024490559,12,San Carlos,19980223,KFL,0,1,867
-122.231960458352,37.4854362612083,13,Redwood City,19980223,KFL,0,1,1870
-122.19637884842,37.4645518803364,14,Atherton,19980223,KFL,0,0,0
-122.181917996718,37.4553696853295,15,Menlo Park,19980223,KFL,0,1,1171
-122.163997186377,37.4433041915643,16,Palo Alto,19980223,KFL,0,1,3054
-122.140620287743,37.4287989851857,17,California Ave,19980223,KFL,0,0,822
-122.0769215676,37.3949978626566,18,Mountain View,19980223,KFL,0,1,2764
-122.030123413606,37.3787183198144,19,Sunnyvale,19980223,KFL,0,1,1342
-121.995523830611,37.3704232950663,20,Lawrence,19980223,KFL,0,0,0
-121.935506861509,37.3532122263085,21,Santa Clara,19980223,KFL,0,1,657
-121.914480961099,37.3429654290318,22,College Park,19980223,KFL,0,0,0
-121.902326747117,37.3305007097052,23,San Jose Diridon,19980223,KFL,0,1,2270
-121.882542882386,37.311249150577,24,Tamien,19980223,KFL,0,1,0
-121.841245172986,37.2842348662268,25,Capitol,19980223,KFL,0,1,0
-121.799415163216,37.2541598498981,26,Blossom Hill,19980223,KFL,0,1,0
-121.650991815095,37.131153919801,27,Morgan Hill,19980223,KFL,0,1,0
-121.609694104664,37.0860413942666,28,San Martin,19980223,KFL,0,1,0
-121.565897481106,37.0048244331647,29,Gilroy,19980223,KFL,0,1,0
-122.384940068379,37.5991350802696,30,Millbrae,19980617,KFL,1,1,1816
-122.107530374403,37.4075142182511,31,San Antonio,19980617,KFL,0,0,488
